Tiempo,CPU,RAM,Temp,Corriente (mA)
76,34.3,48.5,39.92,522.0731707317074
76,35.0,48.5,40.407,533.140243902439
77,38.2,48.9,40.407,602.8353658536585
77,34.2,48.9,40.407,513.5670731707316
78,32.3,48.9,39.92,576.859756097561
79,14.6,48.7,39.92,479.4512195121951
79,32.0,48.7,40.894,427.1341463414634
80,44.6,48.4,40.407,561.1280487804878
80,34.0,48.6,40.407,484.390243902439
81,35.4,48.6,40.407,527.469512195122
81,38.6,48.8,40.407,529.2073170731707
82,34.0,48.8,40.407,536.5243902439024
82,31.0,48.8,40.407,550.5182926829268
83,30.2,48.4,39.92,523.4451219512196
83,25.9,48.4,40.894,499.4817073170732
84,19.0,48.4,39.433,530.4878048780488
84,19.3,49.2,39.92,475.9756097560975
85,46.8,48.8,40.407,559.4817073170732
85,37.4,48.8,39.433,544.4817073170731
86,35.0,48.8,40.407,534.1463414634146
86,37.5,48.9,39.433,504.2378048780488
87,34.3,48.9,39.92,512.8353658536586
87,31.8,48.9,39.92,480.2743902439025
88,24.6,48.8,39.433,540.8231707317073
88,18.7,49.1,40.407,443.0487804878049
89,47.7,48.7,38.946,483.9329268292683
89,37.8,48.7,39.92,580.7926829268292
90,35.7,48.7,39.433,548.7804878048781
90,38.6,48.8,39.92,549.329268292683
91,32.8,48.8,39.433,535.3353658536585
91,33.3,48.8,39.92,556.5548780487804
92,19.7,48.4,39.433,522.5304878048781
92,22.2,49.2,38.946,447.2560975609756
93,49.5,48.8,40.407,549.2378048780488
93,35.4,48.9,39.92,522.439024390244
94,35.2,48.9,40.407,558.0182926829268
94,37.6,48.9,39.92,544.2073170731708
95,34.0,48.9,38.946,534.2378048780487
95,32.7,48.9,39.433,482.9268292682927
96,30.5,48.5,39.92,450.1829268292683
96,10.6,48.5,38.946,483.9329268292683
97,30.5,48.9,38.946,471.5853658536585
97,44.7,48.7,38.459,461.4329268292683
98,36.7,48.8,38.946,584.4512195121952
98,33.5,48.7,39.92,524.7256097560976
99,38.9,49.1,39.433,497.8353658536586
99,33.2,49.1,39.433,492.4390243902439
100,33.5,49.1,38.459,528.75
100,29.9,48.7,38.946,494.4512195121951
